step,depth,latency_ms
0,1,179.530
1,2,189.980
2,3,193.341
3,4,193.192
4,5,192.914
5,6,197.664
6,7,196.271
7,8,196.075
8,9,196.956
9,10,199.316
10,11,200.872
11,12,201.205
12,13,199.001
13,14,204.004
14,15,207.496
15,16,208.938
16,17,209.030
17,18,209.953
18,19,209.712
19,20,213.954
20,21,214.770
21,22,213.396
22,23,217.357
23,24,217.041
24,25,217.879
25,26,220.814
26,27,223.865
27,28,225.182
28,29,224.964
29,30,219.153
30,31,227.418
31,32,227.446
32,33,228.614
33,34,230.709
34,35,232.139
35,36,236.658
36,37,239.692
37,38,231.372
38,39,237.782
39,40,248.854
40,41,249.850
41,42,249.425
42,43,250.789
43,44,251.395
44,45,253.450
45,46,251.812
46,47,254.715
47,48,254.684
48,49,257.348
49,50,256.960
50,51,259.461
51,52,258.100
52,53,261.968
53,54,260.724
54,55,263.476
55,56,265.657
56,57,268.407
57,58,268.385
58,59,268.727
59,60,266.129
60,61,267.067
61,62,266.233
62,63,266.691
63,64,267.637
64,65,268.359
65,66,270.277
66,67,268.889
67,68,267.315
68,69,267.773
69,70,268.266
70,71,268.413
71,72,267.715
72,73,267.431
73,74,268.277
74,75,267.513
75,76,267.829
76,77,269.226
77,78,267.711
78,79,268.424
79,80,268.260
80,81,267.665
81,82,268.232
82,83,269.676
83,84,267.952
84,85,267.370
85,86,268.441
86,87,267.459
87,88,267.725
88,89,268.908
89,90,267.680
90,91,269.309
91,92,269.334
92,93,269.047
93,94,268.917
94,95,270.275
95,96,272.199
96,97,269.568
97,98,268.541
98,99,269.457
99,100,269.012
100,101,269.599
101,102,269.231
102,103,269.433
103,104,269.625
104,105,269.095
105,106,269.377
106,107,269.365
107,108,269.803
108,109,269.410
109,110,269.799
110,111,269.058
111,112,270.018
112,113,269.355
113,114,269.730
114,115,269.130
115,116,269.501
116,117,269.067
117,118,269.590
118,119,269.421
119,120,269.788
120,121,269.142
121,122,269.475
122,123,269.314
123,124,269.394
124,125,269.565
125,126,269.473
126,127,269.577
127,128,269.350
128,129,269.910
129,130,269.709
130,131,270.127
131,132,268.407
132,133,270.371
133,134,268.269
134,135,270.475
135,136,268.197
136,137,271.480
137,138,268.403
138,139,270.365
139,140,268.358
140,141,270.910
141,142,268.019
142,143,270.356
143,144,267.989
144,145,270.732
145,146,268.095
146,147,269.939
147,148,268.058
148,149,270.645
149,150,268.288
150,151,269.907
151,152,268.596
152,153,270.580
153,154,268.767
154,155,270.163
155,156,268.856
156,157,270.225
157,158,268.919
158,159,269.626
159,160,269.563
160,161,270.384
161,162,269.197
162,163,270.041
163,164,269.576
164,165,270.100
165,166,269.368
166,167,269.904
167,168,269.417
168,169,270.178
169,170,269.481
170,171,269.418
171,172,269.232
172,173,270.059
173,174,269.288
174,175,269.576
175,176,268.926
176,177,270.501
177,178,269.044
178,179,270.005
179,180,269.565
180,181,270.299
181,182,269.122
182,183,270.123
183,184,269.098
184,185,270.266
185,186,269.327
186,187,269.791
187,188,269.344
188,189,270.786
189,190,269.484
190,191,269.872
191,192,269.240
192,193,269.590
193,194,269.954
194,195,268.198
195,196,270.103
196,197,269.823
197,198,269.229
198,199,270.078
199,200,270.052
200,201,268.989
201,202,269.981
202,203,270.305
203,204,268.996
204,205,270.102
205,206,270.312
206,207,268.932
207,208,270.403
208,209,270.493
209,210,269.399
210,211,269.947
211,212,270.248
212,213,268.620
213,214,270.622
214,215,270.178
215,216,269.580
216,217,270.627
217,218,269.586
218,219,270.358
219,220,270.110
220,221,270.479
221,222,269.360
222,223,270.307
223,224,269.853
224,225,270.184
225,226,270.027
226,227,271.186
227,228,269.626
228,229,271.107
229,230,270.259
230,231,270.591
231,232,270.022
232,233,271.015
233,234,270.029
234,235,270.902
235,236,269.505
236,237,270.681
237,238,269.567
238,239,271.175
239,240,269.700
240,241,270.961
241,242,269.506
242,243,271.411
243,244,269.673
244,245,271.506
245,246,269.378
246,247,271.361
247,248,269.197
248,249,271.356
249,250,269.597
250,251,271.457
251,252,269.526
252,253,271.051
253,254,270.125
254,255,271.230
255,256,271.937
256,257,270.503
257,258,271.949
258,259,269.460
259,260,270.288
260,261,269.640
261,262,270.537
262,263,270.088
263,264,270.387
264,265,269.412
265,266,270.491
266,267,269.793
267,268,270.709
268,269,269.595
269,270,270.478
270,271,270.066
271,272,270.282
272,273,269.772
273,274,269.662
274,275,269.770
275,276,270.447
276,277,270.511
277,278,269.752
278,279,269.776
279,280,269.933
280,281,269.818
281,282,269.932
282,283,269.948
283,284,269.558
284,285,269.930
285,286,269.883
286,287,270.186
287,288,269.838
288,289,269.950
289,290,270.022
290,291,270.104
291,292,269.744
292,293,270.853
293,294,269.863
294,295,270.281
295,296,270.238
296,297,270.301
297,298,269.760
298,299,270.906
299,300,270.298
